Problem Short Description,Device Name,Instance,Metric,Metric Description
Shared Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/41 NAME: 1/41 - Descr:1/41,47,Packet Discards cause performance problems.
Hypervisor CPU Oversubscription,10.0.33.46,DSIG-SQL01 -,5,Total Hours over 5% ready time:1 VMware recommends under 5% CPU Ready Time
Hypervisor CPU Oversubscription,10.0.33.219,DSIG-RDSHRM01 -,5,Total Hours over 5% ready time:1 VMware recommends under 5% CPU Ready Time
Hypervisor CPU Oversubscription,10.0.33.226,DSIG-RDSHRM02 -,5,Total Hours over 5% ready time:3 VMware recommends under 5% CPU Ready Time
Hypervisor CPU Oversubscription,10.0.33.229,DSIG-RDSHPH02 -,5,Total Hours over 5% ready time:4 VMware recommends under 5% CPU Ready Time
Critical Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/13 NAME: 1/13 - Descr:1/13,50,Packet Discards cause performance problems.
Shared Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/13 NAME: 1/13 - Descr:1/13,50,Packet Discards cause performance problems.
Virtual Switch Input Packet Loss,10.0.33.6,DSIG-DLOCR01,52,Receive packets dropped:52.
Router Interfaces with Discards,10.0.34.252,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),53,Packet Discards cause performance problems.
Shared Uplinks with Discards,txdal-a0-st01,Name:DESCR: Port 2/10 NAME: 2/10 - Descr:2/10,541,Packet Discards cause performance problems.
Too Many IM/Chat Applications,,Messenger Companion,6,Installs of Unique IM/Chat Client
Too Many IM/Chat Applications,,Windows Live Messenger Companion Core,6,Installs of Unique IM/Chat Client
Shared Uplinks with Errors,nybro-a0-1,Name:DESCR: HP Mini PC NAME: 4 - Descr:4,6,Low Level packet loss causes performance problems.
Virtual Switch Input Packet Loss,10.0.33.229,DSIG-RDSHPH02,619,Receive packets dropped:619.
Virtual Switch Input Packet Loss,10.0.33.249,DSIGSVR02,64,Receive packets dropped:64.
Virtual Switch Input Packet Loss,10.0.33.199,DSIG-RDSHPH03,672,Receive packets dropped:672.
Too Many IM/Chat Applications,,Microsoft Skype for Business MUI (English) 2016,7,Installs of Unique IM/Chat Client
Virtual Switch Input Packet Loss,10.0.33.5,DSIG-DLAPP01,70,Receive packets dropped:70.
Router Interfaces with Discards,10.0.67.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),769,Packet Discards cause performance problems.
Router Interfaces with Discards,10.32.35.254,Name:DESCR: X1 NAME: X1 (WAN) - Descr:X1 (WAN),79,Packet Discards cause performance problems.
Critical Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/9 NAME: 1/9 - Descr:1/9,8,Packet Discards cause performance problems.
Shared Uplinks with Discards,ncgre-a0-st01,Name:DESCR: Port 1/9 NAME: 1/9 - Descr:1/9,8,Packet Discards cause performance problems.
Disk Latency,BIORX-VEEAM01,T:,856,Physical Disk Latency (ms)
Virtual Switch Input Packet Loss,10.0.33.13,BioRx-RDSTORE01,862,Receive packets dropped:862.
Virtual Switch Input Packet Loss,unknown,BioRx-RDWEB01,88,Receive packets dropped:88.
High Memory Utilization,DSIG-RDSHPH03,,90,Max Memory Utilization %
High Memory Utilization,BIORX-SQLTEST01,,90,Max Memory Utilization %
High CPU Utilization,BIORX-VEEAM01,,91,Max CPU Utilization %
Potential G.711 Calls Supported,10.0.33.23,DESCR: X4 NAME: X4 (DSIG:ScottsdaleAZ P2P),92,G.711 calls supported on this interface
High Memory Utilization,DSIG-RDSHPH01,,92,Max Memory Utilization %
Virtual Switch Input Packet Loss,10.0.33.219,DSIG-RDSHRM01,949,Receive packets dropped:949.
Logical Disk Exhaustion,BIORX-FS01,E:,95,Logical Disk Utilization
High Memory Utilization,BIORX-SQL01,,95,Max Memory Utilization %
Virtual Switch Input Packet Loss,10.0.33.33,BioRx-FAX01,95,Receive packets dropped:95.
High Memory Utilization,DSIG-SQL01,,97,Max Memory Utilization %
High Memory Utilization,DSIG-RPT01,,97,Max Memory Utilization %
Hypervisor Disk Command Aborts,10.0.33.20,biorx-vm03.biorx.net,99,Commands aborted:99.  Total Hours with aborted commands:19. VMware recommends 0 aborts
